id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
96,4,single_2,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,wisq_bqskit,,,,16,33,120,184,0,47,15,143,efficient_su2_16__wisq_bqskit
97,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
98,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
99,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
100,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
101,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
102,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
103,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
104,4,single_3,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,,,,16,33,120,184,0,37,120,248,efficient_su2_16__tket
105,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,92,229,293,efficient_su2_16__qiskit_ai
106,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,97,222,286,efficient_su2_16__qiskit_ai
107,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,101,237,301,efficient_su2_16__qiskit_ai
108,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,87,215,279,efficient_su2_16__qiskit_ai
109,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,91,222,286,efficient_su2_16__qiskit_ai
110,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,95,230,294,efficient_su2_16__qiskit_ai
111,4,single_4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_ai,,,,16,33,120,184,0,99,216,280,efficient_su2_16__qiskit_ai
112,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,210,328,948,efficient_su2_16__qiskit_standard
113,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,210,300,782,efficient_su2_16__qiskit_standard
114,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,219,322,1070,efficient_su2_16__qiskit_standard
115,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,209,318,920,efficient_su2_16__qiskit_standard
116,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,217,354,933,efficient_su2_16__qiskit_standard
117,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,209,330,953,efficient_su2_16__qiskit_standard
118,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,161,323,703,efficient_su2_16__qiskit_standard
