id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
958,70,qft_N006,70,qft_N006,qft,benchmarks/ai_transpile/qasm/qft/qft_N006.qasm,tket,1,tket,,,,6,44,39,96,0,37,30,73,1.7998426305130124,qft_N006__tket
971,71,qft_N007,71,qft_N007,qft,benchmarks/ai_transpile/qasm/qft/qft_N007.qasm,tket,1,tket,,,,7,52,51,128,0,44,42,99,2.568927031941712,qft_N007__tket
984,72,qft_N008,72,qft_N008,qft,benchmarks/ai_transpile/qasm/qft/qft_N008.qasm,tket,1,tket,,,,8,60,68,168,0,51,56,129,1.9986382173374295,qft_N008__tket
997,73,qft_N009,73,qft_N009,qft,benchmarks/ai_transpile/qasm/qft/qft_N009.qasm,tket,1,tket,,,,9,68,84,210,0,58,72,163,2.2064272919669747,qft_N009__tket
1010,74,qft_N010,74,qft_N010,qft,benchmarks/ai_transpile/qasm/qft/qft_N010.qasm,tket,1,tket,,,,10,76,105,260,0,65,90,201,2.893336716108024,qft_N010__tket
1023,75,qft_N011,75,qft_N011,qft,benchmarks/ai_transpile/qasm/qft/qft_N011.qasm,tket,1,tket,,,,11,84,125,312,0,72,110,243,3.231613821350038,qft_N011__tket
1036,76,qft_N012,76,qft_N012,qft,benchmarks/ai_transpile/qasm/qft/qft_N012.qasm,tket,1,tket,,,,12,92,150,372,0,79,132,289,3.2120851166546345,qft_N012__tket
1049,77,qft_N013,77,qft_N013,qft,benchmarks/ai_transpile/qasm/qft/qft_N013.qasm,tket,1,tket,,,,13,100,174,434,0,86,156,339,3.60560701508075,qft_N013__tket
1062,78,qft_N014,78,qft_N014,qft,benchmarks/ai_transpile/qasm/qft/qft_N014.qasm,tket,1,tket,,,,14,108,203,504,0,93,182,393,3.915162197314203,qft_N014__tket
1075,79,qft_N015,79,qft_N015,qft,benchmarks/ai_transpile/qasm/qft/qft_N015.qasm,tket,1,tket,,,,15,116,231,576,0,100,210,451,5.308893802575767,qft_N015__tket
1087,80,qft_N016,80,qft_N016,qft,benchmarks/ai_transpile/qasm/qft/qft_N016.qasm,tket,1,tket,,,,16,124,264,656,0,107,240,513,4.7997739324346185,qft_N016__tket
1100,81,qft_N017,81,qft_N017,qft,benchmarks/ai_transpile/qasm/qft/qft_N017.qasm,tket,1,tket,,,,17,132,296,738,0,114,272,579,6.211969850584865,qft_N017__tket
1112,82,qft_N018,82,qft_N018,qft,benchmarks/ai_transpile/qasm/qft/qft_N018.qasm,tket,1,tket,,,,18,140,333,828,0,121,306,649,6.674623773433268,qft_N018__tket
1124,83,qft_N019,83,qft_N019,qft,benchmarks/ai_transpile/qasm/qft/qft_N019.qasm,tket,1,tket,,,,19,148,369,920,0,128,342,723,8.061742668040097,qft_N019__tket
1136,84,qft_N020,84,qft_N020,qft,benchmarks/ai_transpile/qasm/qft/qft_N020.qasm,tket,1,tket,,,,20,156,410,1020,0,135,380,801,7.9830904873088,qft_N020__tket
1144,85,qv_N002_12345,85,qv_N002_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N002_12345.qasm,wisq_rules,1,wisq_rules,,,,2,46,6,86,0,75,6,138,600.0461026923731,qv_N002_12345__wisq_rules
1146,85,qv_N002_12345,85,qv_N002_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N002_12345.qasm,wisq_bqskit,1,wisq_bqskit,,,,2,46,6,86,0,23,3,36,301.7313020871952,qv_N002_12345__wisq_bqskit
1148,85,qv_N002_12345,85,qv_N002_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N002_12345.qasm,tket,1,tket,,,,2,46,6,86,0,18,3,31,1.7513098334893584,qv_N002_12345__tket
1157,86,qv_N003_12345,86,qv_N003_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N003_12345.qasm,wisq_rules,1,wisq_rules,,,,3,69,9,129,0,111,9,207,600.0595055986196,qv_N003_12345__wisq_rules
1159,86,qv_N003_12345,86,qv_N003_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N003_12345.qasm,wisq_bqskit,1,wisq_bqskit,,,,3,69,9,129,0,34,6,62,301.0616627074778,qv_N003_12345__wisq_bqskit
1161,86,qv_N003_12345,86,qv_N003_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N003_12345.qasm,tket,1,tket,,,,3,69,9,129,0,34,6,63,1.4749644305557013,qv_N003_12345__tket
1170,87,qv_N004_12345,87,qv_N004_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N004_12345.qasm,wisq_rules,1,wisq_rules,,,,4,92,24,344,0,149,24,548,600.1256384728476,qv_N004_12345__wisq_rules
1174,87,qv_N004_12345,87,qv_N004_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N004_12345.qasm,tket,1,tket,,,,4,92,24,344,0,69,24,231,1.5083071468397975,qv_N004_12345__tket
1183,88,qv_N005_12345,88,qv_N005_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N005_12345.qasm,wisq_rules,1,wisq_rules,,,,5,115,30,430,0,185,30,685,600.1883581271395,qv_N005_12345__wisq_rules
1187,88,qv_N005_12345,88,qv_N005_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N005_12345.qasm,tket,1,tket,,,,5,115,30,430,0,85,27,257,1.8204742223024368,qv_N005_12345__tket
1200,89,qv_N006_12345,89,qv_N006_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N006_12345.qasm,tket,1,tket,,,,6,138,54,774,0,82,36,318,2.054594598710537,qv_N006_12345__tket
1213,90,qv_N007_12345,90,qv_N007_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N007_12345.qasm,tket,1,tket,,,,7,161,63,903,0,117,63,589,2.628214434720576,qv_N007_12345__tket
1221,91,qv_N008_12345,91,qv_N008_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N008_12345.qasm,wisq_rules,1,wisq_rules,,,,8,184,96,1376,0,297,96,2184,600.3197643663734,qv_N008_12345__wisq_rules
1225,91,qv_N008_12345,91,qv_N008_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N008_12345.qasm,tket,1,tket,,,,8,184,96,1376,0,133,90,818,3.7535697305575018,qv_N008_12345__tket
1234,92,qv_N009_12345,92,qv_N009_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N009_12345.qasm,wisq_rules,1,wisq_rules,,,,9,207,108,1548,0,333,108,2457,600.349622445181,qv_N009_12345__wisq_rules
1238,92,qv_N009_12345,92,qv_N009_12345,qv,benchmarks/ai_transpile/qasm/qv/qv_N009_12345.qasm,tket,1,tket,,,,9,207,108,1548,0,149,93,834,3.97230295278132,qv_N009_12345__tket
